定风波　　　、定风流、定风波令
破阵子　　　、十拍子
苏幕遮　　　、鬓云松令
摊破南乡子　、青杏儿、似娘儿、庆灵椿、闲闲令
醉春风　　　、怨东风
握金钗　　　、戛金钗
锦缠道　　　、锦缠头、锦缠绊
厌金杯　　　、献金杯
谢池春　　　、风中柳、风中柳令、玉莲花、卖花声
胜胜令　　　、声声令
青玉案　　　、西湖路
梦行云　　　、六么花十八
凤凰阁　　　、数花风
连理枝　　　、红娘子、小桃红、灼灼花
月上海棠　　、玉关遥、月上海棠慢
小镇西犯　　、小镇西、镇西
千秋岁　　　、千秋节
甘露歌　　　、祝英台
于飞乐　　　、鸳鸯怨曲
隔浦莲近拍　、隔浦莲、隔浦莲近
风入松　　　、风入松慢、远山横
剔银灯　　　、剔银灯引
解蹀躞　　　、玉蹀躞
扑蝴蝶　　　、扑蝴蝶近
千年调　　　、相思会
番枪子　　　、春草碧
荔枝香　　　、荔枝香近
婆罗门引　　、婆罗门、望月婆罗门引
御街行　　　、孤雁儿
祝英台近　　、宝钗分、月底修箫谱、燕莺语、寒食词
阳关引　　　、古阳关
金人捧露盘　、铜人捧露盘、上平西、上西平、西平曲、上平南
斗百花　　　、夏州
最高楼　　　、醉高春
彩凤飞　　　、彩凤舞
蓦山溪　　　、上阳春
千秋岁引　　、千秋岁令、千秋万岁
早梅芳　　　、早梅芳近
新荷叶　　　、折新荷引、泛兰舟
促拍满路花　、满路花、满园花、归去难、一枝花、喝马一枝花
洞仙歌　　  、洞仙歌令、羽仙歌、洞仙词、洞中仙、洞仙歌慢
蕙兰芳引　　、蕙兰芳
受恩深　　　、爱恩深
五福降中天　、五福降中天慢
江城梅花引　、摊破江城子、四笑江梅引、梅花引、明月引、西湖明月引
八六子　　　、感黄鹂
采桑子慢　　、丑奴儿慢、愁春未醒、丑奴儿近、叠青钱
探芳信　　　、西湖春
法曲献仙音　、献仙音、越女镜心
露华　　　　、露华慢
凄凉犯　　　、瑞鹤仙影
浣溪沙慢　　、浣溪纱慢
四犯剪梅花　、辘轳金井、三犯锦园春、月城春、锦园春
尾犯　　　　、碧芙蓉
六么令　　　、绿腰、乐世、录要
水调歌头　　、元会曲、凯歌
扫地游　　　、扫花游
满庭芳　　　、锁阳台、满庭霜、潇湘夜雨、话桐乡、江南好、满庭花、转调满庭芳
小圣乐　　　、骤雨打新荷
汉宫春　　　、汉宫春慢
倦寻芳　　　、倦寻芳慢
八声甘州　　、甘州、萧萧雨、宴瑶池
醉蓬莱　　　、雪月交光、冰玉风月
凤凰台上忆吹箫　、忆吹箫
庆清朝　　　、庆清朝慢
燕春台　　　、夏初临
声声慢　　　、胜胜慢、人在楼上
琐窗寒　　　、锁寒窗
十月桃　　　、十月梅
新雁过妆楼　、雁过妆楼、瑶台聚八仙、八宝妆、百宝妆
国香　　　　、国香慢
芳草　　　　、凤箫吟
念奴娇　　　、大江东去、酹江月、赤壁词、酹月、壶中天慢、大江西上曲、太平欢、寿南枝、古梅曲、湘月、淮甸春、白雪词、百字令、百字谣、无俗念、千秋岁、庆长春、杏花天
渡江云　　　、三儿犯渡江云
高阳台　　　、庆春泽慢、庆宫春
桂枝香　　　、疏帘淡月
锦堂春慢　　、锦堂春
西平乐　　　、西平乐慢
水龙吟　　　、丰年瑞、鼓笛慢、龙吟曲、小楼连苑、庄椿岁
石州慢　　　、柳色黄、石州引
宴清都　　　、四代好
庆春宫　　　、庆宫春
忆旧游　　　、忆旧游慢
花犯　　　　、绣鸾凤花犯
倒犯　　　　、吉了犯
瑞鹤仙　　　、一撚红
齐天乐　　　、台城路、五福降中天、如此江山
氐州第一　　、熙州摘遍
瑶华　　　　、瑶花慢
竹马儿　　　、竹马子
忆瑶姬　　　、别素质、别瑶姬慢
探春慢　　　、探春
眉妩　　　　、百宜娇
湘江静　　　、潇湘静
归朝欢　　　、菖蒲绿
永遇乐　　　、消息
二郎神　　　、转调二郎神、十二郎
倾杯乐　　　、古倾杯、倾杯
月中桂　　　、月中仙
拜星月慢　　、拜新月
花心动　　　、好心动、桂香飘、上升花、花心慢动
阳春　　　　、阳春曲
西河　　　　、西河慢、西湖
秋霁　　　　、春霁
解连环　　　、望梅、杏梁燕
夜飞鹊慢　　、夜飞鹊
落梅　　　　、落梅慢
飞雪满群山　、遍扁寻旧约、飞雪满堆山
泛青苕　　　、感皇恩慢
夺锦标　　　、清溪怨
江城子慢　　、江神子慢
八宝妆　　　、八犯玉交枝
疏影　　　　、绿意、解佩环
选冠子　　　、选官子、转调选冠子、惜余春慢、苏武慢、过秦楼
霜叶飞　　　、半婵娟
沁园春　　　、东仙、寿星明、洞庭春色
瑶台月　　　、瑶池月
摸鱼儿　　　、买陂塘、陂塘柳、迈陂塘、山鬼谣、双蕖怨
贺新郎　　　、金缕歌、金缕曲、金缕词、乳燕飞、贺新凉、风敲竹、貂裘换酒
吊严陵　　　、暮云碧
金明池　　　、昆明池、夏云峰
笛家　　　　、笛家弄慢
秋思耗　　　、画屏秋色
多丽　　　　、鸭头绿、陇头泉
宝鼎现　　　、三段子、宝鼎儿
哨遍　　　　、稍遍
戚氏　　　　、梦游仙
莺啼序　　　、丰乐楼
